episode,timestep,reward
95,2000,11.879
186,4000,15.4487
250,6000,32.3845
306,8000,39.5372
335,10000,118.3361
366,12000,94.2912
391,14000,143.435
412,16000,166.3979
433,18000,170.7835
455,20000,181.1669
474,22000,192.7663
494,24000,188.0357
513,26000,204.1964
531,28000,214.6055
548,30000,222.1797
566,32000,215.8403
581,34000,250.0556
596,36000,258.2904
616,38000,124.4418
628,40000,192.8629
637,42000,235.2253
651,44000,184.1174
660,46000,279.5707
668,48000,304.4022
671,50000,616.3092
676,52000,622.7443
681,54000,380.6549
688,56000,497.9447
692,58000,547.9373
699,60000,469.0668
731,62000,82.1161
767,64000,73.1041
793,66000,100.6489
820,68000,98.3077
837,70000,161.6499
859,72000,127.7582
875,74000,176.1674
891,76000,188.113
903,78000,238.977
916,80000,237.2526
928,82000,253.2985
941,84000,224.6382
953,86000,252.0027
965,88000,233.9964
976,90000,311.1896
988,92000,286.609
997,94000,309.1916
1008,96000,303.2145
1018,98000,315.4443
1027,100000,346.8631
1036,102000,373.6302
1046,104000,330.7883
1060,106000,260.3785
1072,108000,318.8928
1085,110000,311.1809
1099,112000,253.9001
1132,114000,114.0903
1160,116000,127.1083
1186,118000,134.5032
1211,120000,141.1765
1232,122000,179.7857
1249,124000,231.7724
1271,126000,180.3427
1289,128000,211.4433
1307,130000,221.6127
1324,132000,254.5684
1354,134000,109.3924
