episode,timestep,reward
90,2000,28.0747
121,4000,105.3567
148,6000,140.7198
170,8000,178.1022
186,10000,236.0132
207,12000,186.6627
230,14000,184.4192
251,16000,200.9187
276,18000,169.1081
301,20000,163.8004
325,22000,182.8795
348,24000,186.4389
367,26000,219.9501
388,28000,199.1108
409,30000,203.6519
428,32000,224.6084
444,34000,244.572
461,36000,222.2342
480,38000,214.7524
501,40000,211.8423
519,42000,219.1404
540,44000,203.3968
563,46000,173.6725
584,48000,169.3329
604,50000,204.8802
623,52000,201.3484
644,54000,194.509
665,56000,194.8724
688,58000,186.9388
708,60000,218.5417
729,62000,214.497
750,64000,211.603
771,66000,208.5929
791,68000,219.3933
811,70000,224.4522
830,72000,227.0334
849,74000,227.0114
869,76000,223.6225
891,78000,200.3471
912,80000,198.3225
932,82000,224.1675
953,84000,207.2495
973,86000,215.7374
995,88000,200.8598
1014,90000,224.9386
1034,92000,206.1936
1054,94000,206.3303
1075,96000,192.8498
1094,98000,210.7683
1115,100000,176.6041
1134,102000,206.2235
1154,104000,206.3859
1173,106000,216.1064
1193,108000,205.6395
1213,110000,201.0058
1233,112000,208.2189
1250,114000,227.7696
1271,116000,205.0301
1290,118000,218.5973
1309,120000,225.7269
1328,122000,227.4275
1347,124000,225.7216
1367,126000,214.8985
1386,128000,219.7675
1406,130000,204.6404
1426,132000,221.981
1445,134000,228.0166
1463,136000,226.3944
1481,138000,226.443
1500,140000,225.1245
1519,142000,222.8984
1538,144000,221.1246
1556,146000,225.4751
1575,148000,217.4688
1594,150000,219.4336
1614,152000,206.7115
1633,154000,229.6176
1652,156000,215.3237
1673,158000,192.0002
1695,160000,169.1697
1717,162000,177.9603
1737,164000,210.0097
1755,166000,217.1396
1774,168000,216.2476
1795,170000,176.8833
1813,172000,217.5666
1832,174000,224.9367
1849,176000,236.2224
1868,178000,193.357
1885,180000,207.8491
1901,182000,215.0794
