episode,timestep,reward
62,2000,27.1672
115,4000,35.2474
159,6000,53.4506
202,8000,63.3237
238,10000,86.6978
270,12000,105.511
297,14000,124.393
327,16000,122.2639
350,18000,166.0388
375,20000,148.8098
398,22000,170.1292
420,24000,185.994
442,26000,186.3685
465,28000,174.0548
486,30000,201.9956
506,32000,206.6944
525,34000,224.7737
543,36000,230.221
561,38000,234.753
580,40000,231.0914
597,42000,256.7942
616,44000,228.3939
634,46000,249.4264
651,48000,254.2254
668,50000,262.3212
683,52000,277.185
700,54000,284.2349
715,56000,280.9043
733,58000,276.4033
748,60000,296.9669
766,62000,284.8341
782,64000,280.3516
798,66000,306.9346
814,68000,305.1975
830,70000,310.3439
846,72000,314.0312
861,74000,330.2665
876,76000,331.2517
891,78000,346.4012
906,80000,339.6837
