episode,timestep,reward
86,2000,12.2171
170,4000,12.1029
244,6000,17.0052
321,8000,15.9257
379,10000,27.6861
427,12000,44.7377
465,14000,60.5556
504,16000,53.3097
527,18000,126.9307
548,20000,138.9152
568,22000,184.5888
591,24000,141.9768
613,26000,168.6243
634,28000,178.9584
652,30000,211.6363
672,32000,189.9577
689,34000,241.9554
709,36000,215.8798
727,38000,240.0067
746,40000,223.4342
762,42000,277.7139
779,44000,267.881
796,46000,261.4737
813,48000,265.2123
829,50000,281.0714
844,52000,278.5022
860,54000,281.6444
875,56000,287.1207
891,58000,284.8811
907,60000,290.253
924,62000,269.0911
940,64000,286.2561
956,66000,306.3759
971,68000,291.1245
987,70000,319.5531
1003,72000,300.493
1018,74000,305.6887
1033,76000,312.1149
1049,78000,317.9887
1064,80000,310.7154
1079,82000,340.8007
1094,84000,331.4166
1109,86000,343.9531
1124,88000,333.3306
1139,90000,331.5209
1153,92000,335.6646
1169,94000,330.6496
1183,96000,336.0442
1198,98000,345.4537
1213,100000,344.6874
1228,102000,346.7903
1242,104000,348.8211
